Time, s;Temperature, °C;Mean Stress, MPa;Effective Stress, MPa;Flow stress, MPa;Plastic strain; Strain-rate, 1/s;Velocity, mm/s;Velocity X, mm/s;Velocity Y, mm/s;Velocity Z, mm/s;fact_adapt; elem_size, mm;
0;1199.74;0.437425;2.72272;13.6556;0;1e-06;844.217;-5.10322e-07;1.75676e-05;-844.217;;;
4.72865e-05;1199.74;-0.00131704;0.0102941;13.661;0;1e-06;6.00702e-07;3.0963e-09;-1.41253e-08;-6.00488e-07;;;
0.000647809;1199.74;0.12935;13.6605;13.6605;0;0.00162142;1280.86;-0.000262273;-0.00434229;-1280.86;;;
0.000985676;1199.74;1.10868;13.6605;13.6605;5.47824e-07;2.78943e-05;1269.79;-2.82313e-05;0.00104451;-1269.79;;;
0.00128959;1199.74;2.77344;13.5763;13.6605;5.56302e-07;6.87652e-06;1195.37;-1.03146e-05;0.00522255;-1195.37;;;
0.00169345;1199.74;4.87022;13.5471;13.6605;5.59079e-07;1.88553e-05;315.604;-1.39612e-05;0.107248;-315.604;;;
0.00260282;1199.74;4.34891;13.6514;13.6514;5.76225e-07;6.17035e-05;973.478;-1.88634e-05;0.0244118;-973.478;;;
0.00296307;1199.74;5.10887;13.6514;13.6514;5.98454e-07;0.000132242;945.379;-6.19273e-05;-0.0781395;-945.379;;;
0.00358977;1199.74;4.58745;13.6514;13.6514;6.8133e-07;0.00104904;824.175;-0.000577726;-0.554163;-824.174;;;
0.00400519;1199.74;3.33796;13.7494;13.7494;1.11713e-06;0.00766038;703.76;-0.00116885;-1.38758;-703.757;;;
0.00472637;1199.74;3.18132;14.4952;14.4952;6.64159e-06;0.0235899;774.78;0.0205668;-3.84707;-774.764;;;
0.00597194;1199.74;1.61113;18.9749;18.9749;3.60247e-05;0.166531;950.132;0.402474;-12.9254;-949.964;;;
0.00634821;1199.74;1.45632;20.6554;20.6554;9.86853e-05;0.337094;934.976;0.84536;-14.6165;-934.726;;;
0.00757976;1199.74;0.97385;22.8895;22.8895;0.000513832;0.619225;884.485;1.83145;-18.9915;-884.044;;;
0.00903482;1199.75;0.311454;25.6722;25.6722;0.00141485;1.22107;777.783;3.6249;-26.6942;-776.812;;;
0.0102702;1199.75;-0.0788065;26.4767;26.4767;0.00292329;1.63939;723.18;4.90202;-31.3913;-721.833;;;
0.0115724;1199.77;-0.577364;27.7111;27.7111;0.00505814;2.64279;656.55;7.90306;-39.7594;-654.509;;;
0.0136779;1199.8;-1.24699;28.8835;28.8835;0.0106226;3.62064;637.93;11.2516;-43.1287;-635.646;;;
0.0156156;1199.84;-1.99668;29.8271;29.8271;0.0176382;4.5045;667.744;13.9935;-38.3714;-665.93;;;
0.0178907;1199.89;-3.24023;30.7932;30.7932;0.0278863;5.36463;683.55;17.2287;-42.4512;-681.613;;;
0.0195599;1199.94;-4.13162;32.9841;32.9841;0.0368409;6.29068;727.856;20.2375;-43.703;-726.036;;;
0.0211804;1200.01;-4.59904;35.5366;35.5366;0.0470351;6.21415;763.08;21.3693;-43.8567;-761.331;;;
0.0229582;1200.08;-5.7019;39.1914;39.1914;0.0580829;6.04935;851.666;21.6829;-35.5004;-850.519;;;
0.0249665;1200.16;-5.91429;43.5144;43.5144;0.0702318;5.41727;859.261;20.4812;-38.522;-858.017;;;
0.025935;1200.2;-5.77257;45.2541;45.2541;0.0754783;5.16744;853.225;19.6167;-40.5773;-851.895;;;
0.026995;1200.25;-5.29625;46.6051;46.6051;0.0809559;4.72149;842.453;17.8339;-42.1854;-841.051;;;
0.0287097;1200.32;-4.63198;48.8726;48.8726;0.0890516;4.25493;826.985;16.1507;-46.9714;-825.287;;;
0.0298897;1200.37;-4.8025;50.7983;50.7983;0.0940727;4.30581;853.42;15.7363;-39.849;-852.168;;;
0.0304538;1200.39;-4.68219;51.6262;51.6262;0.0965014;4.33596;867.775;15.1581;-37.5806;-866.668;;;
0.0314777;1200.44;-4.17049;52.7886;52.7886;0.100941;4.36271;856.492;14.2041;-37.7704;-855.372;;;
0.0324441;1200.48;-3.67968;53.6781;53.6781;0.105157;4.37967;845.569;13.5251;-37.7175;-844.439;;;
0.033482;1200.53;-2.99318;54.7862;54.7862;0.109703;4.50714;827.401;12.0092;-39.0131;-826.212;;;
0.0341296;1200.56;-2.75836;55.3208;55.3208;0.112622;4.59323;813.824;11.7106;-39.9995;-812.564;;;
0.0348225;1200.59;-2.73424;56.0985;56.0985;0.115804;4.80604;829.311;10.1886;-32.6503;-828.447;;;
0.0359451;1200.65;-2.43772;57.0032;57.0032;0.1212;4.97941;831.438;9.87796;-28.9901;-830.731;;;
0.0361817;1200.69;-2.32034;57.4562;57.4562;0.122128;5.16253;829.956;9.6303;-27.9253;-829.068;;;
0.0373021;1200.75;-2.29509;58.2845;58.2845;0.127912;5.26251;828.766;8.41964;-25.2157;-827.975;;;
0.0384193;1200.82;-1.85218;59.3519;59.3519;0.133792;5.44801;817.704;7.81819;-25.0267;-816.888;;;
0.039282;1200.87;-1.84453;60.0136;60.0136;0.138492;5.56777;819.049;7.29141;-21.9595;-818.334;;;
0.0402201;1200.93;-1.19724;60.5708;60.5708;0.143715;5.625;821.619;6.20966;-21.2734;-820.964;;;
0.0414916;1201.01;-0.824828;61.6564;61.6564;0.150867;5.76729;817.535;6.06841;-17.6935;-816.952;;;
0.0426189;1201.09;-0.525086;62.7347;62.7347;0.157368;5.99954;818.896;4.10757;-11.8578;-818.448;;;
0.0437981;1201.17;0.256277;63.5997;63.5997;0.164443;6.10433;821.843;2.87468;-8.09469;-821.463;;;
0.0451334;1201.27;0.665538;65.1245;65.1245;0.172594;6.5307;829.584;3.42054;-0.33928;-829.336;;;
0.0466887;1201.39;0.0360395;66.5381;66.5381;0.182751;6.87323;852.672;2.61163;10.2226;-852.344;;;
0.0483589;1201.53;0.191966;69.4109;69.4109;0.194231;7.85375;837.793;4.05904;12.6485;-837.477;;;
0.0498322;1201.67;-7.37188;75.1864;75.1864;0.205802;12.4701;750.421;27.5493;3.51421;-749.621;;;
0.0511008;1201.95;-9.91;76.3436;76.3436;0.227989;13.7167;726.336;32.8645;6.9026;-725.437;;;
0.0520759;1202.13;-12.0896;76.8912;76.8912;0.244012;14.7752;737.905;41.1607;11.0881;-736.504;;;
0.0541134;1202.47;-13.7678;77.0851;77.0851;0.270945;15.4627;753.494;46.1665;12.4975;-751.748;;;
0.0557757;1202.82;-13.0664;77.3228;77.3228;0.29662;15.2701;752.266;45.9552;11.7546;-750.433;;;
0.0568724;1203.04;-15.3696;77.8764;77.8764;0.313367;15.6374;728.215;53.8914;19.3913;-725.575;;;
0.057736;1203.22;-19.9349;78.3789;78.3789;0.32687;16.0867;651.467;64.1268;32.1476;-646.944;;;
0.0588021;1203.46;-22.0223;78.66;78.66;0.344022;16.1435;600.569;69.2534;44.6731;-594.253;;;
0.0599621;1203.72;-21.8981;78.9105;78.9105;0.362747;16.2945;574.962;71.0379;57.2717;-566.92;;;
0.061344;1204.02;-23.4363;79.0668;79.0668;0.384726;16.2833;543.916;70.7671;65.4601;-534.481;;;
0.0624246;1204.26;-24.6526;79.2774;79.2774;0.402321;16.5494;498.479;74.3861;74.0479;-486.233;;;
0.0639637;1204.61;-25.5581;79.4106;79.4106;0.427792;16.6954;464.791;77.631;87.231;-448.559;;;
0.0656969;1204.86;-24.6183;79.521;79.521;0.454367;17.4808;447.494;78.5288;84.6058;-430.872;;;
0.0667676;1205.13;-25.6407;79.4392;79.4392;0.473083;17.5928;431.725;74.6871;88.0663;-414.5;;;
0.0681277;1205.46;-26.5771;79.2994;79.2994;0.497011;17.6924;407.873;71.7425;91.623;-389.381;;;
0.0699923;1205.93;-28.045;79.0248;79.0248;0.530001;17.66;391.954;67.4157;92.4647;-373.313;;;
0.0716505;1206.34;-28.2893;78.6277;78.6277;0.559285;17.1617;377.753;62.9433;86.7557;-360.855;;;
0.0732007;1206.71;-29.2234;78.4569;78.4569;0.585889;17.2256;353.682;57.231;90.1217;-335.667;;;
0.0746776;1207.13;-32.4654;78.2206;78.2206;0.61132;17.0722;342.974;46.8914;89.1948;-325.852;;;
0.0758864;1207.42;-30.5642;78.075;78.075;0.631957;17.2214;345.1;43.8699;96.5418;-325.201;;;
0.0774324;1207.8;-32.3058;77.9389;77.9389;0.658582;17.4195;327.259;36.9907;85.7582;-311.226;;;
0.0795371;1208.33;-33.6786;77.527;77.527;0.692928;17.0852;312.74;27.0994;88.0434;-295.257;;;
0.0805821;1208.07;-33.7307;77.6446;77.6446;0.703288;17.6686;302.932;25.9525;79.2249;-289.814;;;
0.0809532;1208.16;-33.0691;77.5136;77.5136;0.709844;17.6152;293.926;25.9597;77.7953;-280.975;;;
0.0812906;1208.25;-33.4024;77.4451;77.4451;0.715789;17.5591;292.214;24.8962;76.2935;-279.7;;;
0.081515;1208.3;-33.6517;77.3788;77.3788;0.719728;17.4479;291.393;24.9916;75.5885;-279.017;;;
0.0818768;1208.39;-34.9728;77.3486;77.3486;0.726041;17.4265;292.506;26.8498;75.25;-279.989;;;
0.0821039;1208.18;-34.5874;77.4198;77.4198;0.728151;17.6502;284.481;27.6009;73.8113;-272.235;;;
0.082376;1208.25;-34.6404;77.35;77.35;0.732954;17.5554;283.429;27.3908;72.3707;-271.579;;;
0.0826997;1208.33;-34.8677;77.2698;77.2698;0.738636;17.4622;282.573;27.4779;71.4951;-270.863;;;
0.0830345;1208.41;-35.8235;77.1953;77.1953;0.744483;17.384;281.775;27.2152;69.0394;-270.64;;;
0.0832697;1208.47;-36.2703;77.1684;77.1684;0.748571;17.3812;281.173;26.5213;66.718;-270.68;;;
0.0837757;1208.59;-36.5723;77.0594;77.0594;0.757366;17.2997;276.858;25.8361;64.9889;-266.704;;;
0.0842193;1208.7;-36.5298;76.982;76.982;0.765041;17.2725;274.723;25.3832;62.418;-265.186;;;
0.0846834;1208.81;-36.983;76.8714;76.8714;0.773056;17.1774;273.423;24.7777;60.9488;-264.365;;;
0.0851804;1208.93;-37.1886;76.7752;76.7752;0.781594;17.0449;270.347;25.1895;59.1159;-261.665;;;
0.08585;1209.09;-38.2441;76.637;76.637;0.793006;16.8143;269.707;25.0603;54.4338;-262.155;;;
0.086388;1209.21;-38.9566;76.5158;76.5158;0.802054;16.7303;270.058;24.3171;53.6361;-262.641;;;
0.0868825;1209.33;-40.2952;76.3337;76.3337;0.810326;16.3978;271.244;24.1038;49.4148;-264.793;;;
0.0874098;1209.45;-41.5303;76.2586;76.2586;0.818973;16.3893;274.71;25.3348;48.0661;-268.503;;;
